stratum,validator,message_class_id,severity_as_emitted,message_template,objects
QIICR Reporting via 3D Slicer / (null),dciodvfy,d7764901c7d9,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-060> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,d77960249973,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-035> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,dc864580cef3,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-025> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,dd8393effc97,Error,Error - SeriesInstanceUID has same value as FrameOfReferenceUID <UID>,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,df04d472751c,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-046> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,e45121f9a3d2,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-031> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,e6af8d4917a2,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-089> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,ec6ca9e518ec,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-076> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,ecbe7f317c87,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-078> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,ed03a413914d,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-061> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,f3b187638428,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-093> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,f6fb14c91cc4,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-054> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,f7e20e2ce580,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-006> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,f8615e673f45,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-058> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,feebe85b3ac7,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-042> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dciodvfy,ffb0e88e2396,Warning,Warning - Value dubious for this VR - (TAG) PN Patient's Name PN [1] = <R01-033> - Retired Person Name form,1
QIICR Reporting via 3D Slicer / (null),dicom-validator,201d304f916f,ERROR,Module <General> Tag (TAG) (Study Status ID) is unexpected,1
QIICR Reporting via 3D Slicer / (null),dicom-validator,868c63df080c,ERROR,Module <Segmentation Image> (TAG) (Segment Sequence) / (TAG) (Segmented Property Type Code Sequence) Tag (TAG) (Anatomic Region Modifier Sequence) is unexpected,1
QIICR Reporting via 3D Slicer / qin_lungct_seg,dciodvfy,113635600c0a,Error,Error - Missing attribute Type 1C Conditional Element=<DeidentificationMethodCodeSequence> Module=<Patient>,378
QIICR Reporting via 3D Slicer / qin_lungct_seg,dciodvfy,76ab0c6981d2,Warning,Warning - CodingSchemeDesignator is deprecated - attribute <CodingSchemeDesignator> = <SRT>,378
QIICR Reporting via 3D Slicer / qin_lungct_seg,dciodvfy,7c64c7433dd5,Warning,Warning - Value dubious for this VR - (TAG) PN Content Creator's Name PN [1] = <3DSlicer> - Retired Person Name form,378
QIICR Reporting via 3D Slicer / qin_lungct_seg,dciodvfy,a11ed153ed0a,Error,Error - Shall not be present for Referenced SOP Class that is not multi-frame - attribute <ReferencedFrameNumber>,378
QIICR Reporting via 3D Slicer / qin_lungct_seg,dciodvfy,a9d5bb8768bb,Error,Error - Missing attribute Type 1C Conditional Element=<DeidentificationMethod> Module=<Patient>,378
