series_instance_uid,stratum,writer,analysis_result_id,collection_id,status,objects,instances_declared
1.3.6.1.4.1.14519.5.2.1.135962652162886097220630921887475223026,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.233644070329387976671134611841524508357,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.188385508786403403896319305169015968916,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.146866596780512577041167879104289318453,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.308167567447658906212265630146584481067,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.283720394117429172626174998054217012720,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.216539779837814458366301629776088661541,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.320400053451239837320866335935288465579,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.276.0.7230010.3.1.3.1231426215.1056.1345551618.452,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_lung_ct,OK,1,1
1.3.6.1.4.1.14519.5.2.1.7695.1700.173724116439549834161035167193,not identifiable from index / (null),not identifiable from index,(null),ispy1,OK,1,1
1.3.6.1.4.1.14519.5.2.1.7695.2311.163577175774917314575707247017,not identifiable from index / (null),not identifiable from index,(null),breast_mri_nact_pilot,OK,1,1
1.3.6.1.4.1.14519.5.2.1.168564448379138281858016786849141437415,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.7695.2311.164402535706147379873954512861,not identifiable from index / (null),not identifiable from index,(null),breast_mri_nact_pilot,OK,1,1
1.3.6.1.4.1.14519.5.2.1.7695.2311.222498792211319953408521618165,not identifiable from index / (null),not identifiable from index,(null),breast_mri_nact_pilot,OK,1,1
1.3.6.1.4.1.14519.5.2.1.215744293122525246135111706004947021012,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.4334.1501.256108924396203554835256785900,QIICR Reporting via 3D Slicer / (null),QIICR Reporting via 3D Slicer,(null),nsclc_radiogenomics,OK,1,1
